Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2588484073,MNQM6,05/13/2026 12:13:50 -03:00,05/13/2026 12:13:56 -03:00,29307.000000000,29314.000000000,37.00000,-700.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:06.5775650,25.00000
2588488368,MNQM6,05/13/2026 12:14:00 -03:00,05/13/2026 12:14:27 -03:00,29312.500000000,29320.000000000,37.00000,-750.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:27.4032620,25.00000
2588492998,MNQM6,05/13/2026 12:14:30 -03:00,05/13/2026 12:14:59 -03:00,29322.500000000,29322.500000000,37.00000,0.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:28.8540700,25.00000
2588494996,MNQM6,05/13/2026 12:15:09 -03:00,05/13/2026 12:15:15 -03:00,29321.500000000,29323.750000000,37.00000,-225.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:06.0808110,25.00000
2588495908,MNQM6,05/13/2026 12:15:19 -03:00,05/13/2026 12:15:19 -03:00,29325.000000000,29327.000000000,37.00000,-200.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:00.2218190,25.00000
