Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2588419727,MNQM6,05/13/2026 12:05:50 -03:00,05/13/2026 12:06:21 -03:00,29325.500000000,29330.250000000,37.00000,-475.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:30.4833130,25.00000
2588424819,MNQM6,05/13/2026 12:06:26 -03:00,05/13/2026 12:06:58 -03:00,29331.250000000,29331.250000000,37.00000,0.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:32.2703410,25.00000
2588442249,MNQM6,05/13/2026 12:07:06 -03:00,05/13/2026 12:09:25 -03:00,29331.000000000,29331.500000000,37.00000,-50.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:02:19.4351980,25.00000
2588446144,MNQM6,05/13/2026 12:09:49 -03:00,05/13/2026 12:10:00 -03:00,29329.750000000,29332.750000000,18.50000,-150.000000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:10.8337930,12.50000
2588448183,MNQM6,05/13/2026 12:10:03 -03:00,05/13/2026 12:10:11 -03:00,29326.000000000,29333.250000000,18.50000,-362.500000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:08.3915320,12.50000
2588448184,MNQM6,05/13/2026 12:10:03 -03:00,05/13/2026 12:10:11 -03:00,29325.500000000,29333.250000000,18.50000,-387.500000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:08.0292010,12.50000
2588449562,MNQM6,05/13/2026 12:10:15 -03:00,05/13/2026 12:10:27 -03:00,29330.250000000,29332.500000000,18.50000,-112.500000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:11.8408730,12.50000
2588452430,MNQM6,05/13/2026 12:10:28 -03:00,05/13/2026 12:10:48 -03:00,29332.500000000,29332.500000000,18.50000,0.000000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:19.3705360,12.50000
2588453653,MNQM6,05/13/2026 12:10:55 -03:00,05/13/2026 12:11:05 -03:00,29331.500000000,29333.250000000,18.50000,-87.500000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:09.8459900,12.50000
2588453654,MNQM6,05/13/2026 12:10:56 -03:00,05/13/2026 12:11:05 -03:00,29332.000000000,29333.250000000,18.50000,-62.500000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:09.3635290,12.50000
2588454266,MNQM6,05/13/2026 12:11:09 -03:00,05/13/2026 12:11:09 -03:00,29329.500000000,29329.000000000,18.50000,25.000000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:00.5513930,12.50000
2588454267,MNQM6,05/13/2026 12:11:09 -03:00,05/13/2026 12:11:09 -03:00,29329.250000000,29329.000000000,18.50000,12.500000000,25,Short,05/13/2026 00:00:00 -05:00,00:00:00.2570580,12.50000
