Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2580990731,MNQM6,05/12/2026 11:03:52 -03:00,05/12/2026 11:03:55 -03:00,29102.750000000,29105.000000000,37.00000,225.000000000,50,Long,05/12/2026 00:00:00 -05:00,00:00:02.3691140,25.00000
2580992604,MNQM6,05/12/2026 11:03:57 -03:00,05/12/2026 11:04:02 -03:00,29104.250000000,29097.500000000,37.00000,-675.000000000,50,Long,05/12/2026 00:00:00 -05:00,00:00:05.0910870,25.00000
2581006517,MNQM6,05/12/2026 11:04:15 -03:00,05/12/2026 11:04:31 -03:00,29100.000000000,29122.000000000,37.00000,2200.000000000,50,Long,05/12/2026 00:00:00 -05:00,00:00:16.0905450,25.00000
2588130212,MNQM6,05/13/2026 11:40:53 -03:00,05/13/2026 11:41:29 -03:00,29238.750000000,29239.750000000,11.10000,30.000000000,15,Long,05/13/2026 00:00:00 -05:00,00:00:36.2722450,7.50000
2588130215,MNQM6,05/13/2026 11:40:57 -03:00,05/13/2026 11:41:29 -03:00,29241.250000000,29239.750000000,11.10000,-45.000000000,15,Long,05/13/2026 00:00:00 -05:00,00:00:32.3103920,7.50000
2588130218,MNQM6,05/13/2026 11:40:58 -03:00,05/13/2026 11:41:29 -03:00,29239.500000000,29239.750000000,11.10000,7.500000000,15,Long,05/13/2026 00:00:00 -05:00,00:00:31.6116240,7.50000
2588130221,MNQM6,05/13/2026 11:41:25 -03:00,05/13/2026 11:41:29 -03:00,29241.500000000,29239.750000000,3.70000,-17.500000000,5,Long,05/13/2026 00:00:00 -05:00,00:00:04.3093220,2.50000
2588150963,MNQM6,05/13/2026 11:42:56 -03:00,05/13/2026 11:43:23 -03:00,29256.500000000,29265.000000000,37.00000,-850.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:27.1966960,25.00000
2588172039,MNQM6,05/13/2026 11:44:13 -03:00,05/13/2026 11:44:55 -03:00,29270.000000000,29270.000000000,37.00000,0.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:41.7552490,25.00000
2588188319,MNQM6,05/13/2026 11:45:36 -03:00,05/13/2026 11:45:47 -03:00,29254.500000000,29254.750000000,37.00000,-25.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:11.6929840,25.00000
2588193664,MNQM6,05/13/2026 11:46:10 -03:00,05/13/2026 11:46:20 -03:00,29256.500000000,29256.500000000,37.00000,0.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:10.1290860,25.00000
2588197405,MNQM6,05/13/2026 11:46:29 -03:00,05/13/2026 11:46:43 -03:00,29251.500000000,29251.750000000,37.00000,-25.000000000,50,Short,05/13/2026 00:00:00 -05:00,00:00:14.6463860,25.00000
2588198850,MNQM6,05/13/2026 11:46:45 -03:00,05/13/2026 11:46:58 -03:00,29253.500000000,29248.750000000,37.00000,-475.000000000,50,Long,05/13/2026 00:00:00 -05:00,00:00:12.1562560,25.00000
2588200318,MNQM6,05/13/2026 11:47:00 -03:00,05/13/2026 11:47:03 -03:00,29245.250000000,29242.750000000,37.00000,-250.000000000,50,Long,05/13/2026 00:00:00 -05:00,00:00:03.0248360,25.00000
